subject_name,subject_code,subject_map,subject_type,relationship,pred_name,pred_code,pred_map,pred_type
Bugurnidja people,N42.1,NT SD53-05,people term,use for,Bugongidja / Bugongidya people,N42.1,NT SD53-05,people term
Bugurnidja people,N42.1,NT SD53-05,people term,use for,,N42.1,,people code
Bugurnidja people,N42.1,NT SD53-05,people term,narrower term,Wadda / Wadaa / Wada people,N51,NT SD53-05,people term
Buibadjali language,S70,Vic SJ55-01,language term,use for,,S70,,language code
Buibadjali language,S70,Vic SJ55-01,language term,broader term,Wemba Wemba languages,,,language term
Buibadjali people,S70,Vic SJ55-01,people term,use for,,S70,,people code
Bujibada language,E24,Qld SG56-10,language term,use,Buyibara language,E24,Qld SG56-10,language term
Bujibada people,E24,Qld SG56-10,people term,use,Buyibara people,E24,Qld SG56-10,people term
Bukurnidja language,N42,NT SD53-01,language term,use,Limilngan / Buneidja / Buneidya language,N42,NT SD53-01,language term
Bulali language,D11,NSW SH54-16,language term,use,Bolali language,D11,NSW SH54-16,language term
Bulali people,D11,NSW SH54-16,people term,use,Bolali people,D11,NSW SH54-16,people term
Bularnu language,G12.1,Qld SF54-01,language term,use for,,G12.1,,language code
Bularnu language,G12.1,Qld SF54-01,language term,broader term,Warluwaric language family,,,language term
Bularnu people,G12.1,Qld SF54-01,people term,use for,,G12.1,,people code
Bulinara language,N36,NT SD52-16,language term,use,Bilinara language,N36,NT SD52-16,language term
Bulinara people,N36,NT SD52-16,people term,use,Bilinara people,N36,NT SD52-16,people term
Bulinara people,N36,NT SD52-16,people term,use,Erre people,N55,NT SD53-01,people term
Bullongin people,E17,Qld SG56-15,people term,use,Yugambeh / Yugumbir people,E17,Qld SG56-15,people term
Bulloo Downs people,,Qld SH54-04,people term,use,Bitjari / Pitjari people,,Qld SH54-04,people term
Buluguda language,W17,WA SG49-08,language term,use for,,W17,,language code
Buluguda language,W17,WA SG49-08,language term,broader term,Nhanta / Nhanda language,W14,WA SG50-13,language term
Buluguda people,W17,WA SG49-08,people term,use for,,W17,,people code
Buluguda people,W17,WA SG49-08,people term,broader term,Malkana / Malgana people,W18,WA SG50-09,people term
Buluwandji people,Y110,Qld SE55-01,people term,use for,Bulway people,Y110,Qld SE55-01,people term
Buluwandji people,Y110,Qld SE55-01,people term,use for,,Y110,,people code
Buluwandji people,Y110,Qld SE55-01,people term,broader term,Djabugay / Tjapukai / Djabuganjdji people,Y106,Qld SE55-01,people term
Buluwandji people,Y110,Qld SE55-01,people term,RT,Bulway language,Y110,Qld SE55-01,people term
Bulway language,Y110,Qld SE55-01,language term,use for,,Y110,,language code
Bulway language,Y110,Qld SE55-01,language term,broader term,Djabugay / Tjapukai / Djabuganjdji language,Y106,Qld SE55-01,language term
Bulway language,Y110,Qld SE55-01,language term,RT,Buluwandji people,Y110,Qld SE55-01,language term
Bulway people,Y110,Qld SE55-01,people term,use,Buluwandji people,Y110,Qld SE55-01,people term
Bun wurrung language,S35,Vic SJ55-09,language term,use,Boonwurrung / Boonerwrung / Bunurong language,S35,Vic SJ55-09,language term
Bun wurrung people,S35,Vic SJ55-09,people term,use,Boonwurrung / Boonerwrung / Bunurong people,S35,Vic SJ55-09,people term
Bunara language,A69,WA SE52-14,language term,use,Ngardi / Bunara language,A69,WA SE52-14,language term
Bunara people,A69,WA SE52-14,people term,use,Ngardi / Bunara people,A69,WA SE52-14,people term
Bundhamara language,L26,Qld SG54-16,language term,use for,,L26,,language code
Bundhamara language,L26,Qld SG54-16,language term,use for,Punthamara language,L26,Qld SG54-16,language term
Bundhamara language,L26,Qld SG54-16,language term,broader term,Wangkumara language group,,,language term
Bundhamara people,L26,Qld SG54-16,people term,use for,,L26,,people code
Bundhamara people,L26,Qld SG54-16,people term,use for,Punthamara people,L26,Qld SG54-16,people term
Bundjalung / Banjalang language,E12,NSW SH56-02,language term,use for,Banjalang language,E12,NSW SH56-02,language term
Bundjalung / Banjalang language,E12,NSW SH56-02,language term,use for,,E12,,language code
Bundjalung / Banjalang language,E12,NSW SH56-02,language term,use for,Wahlubal language,E12,NSW SH56-02,language term
Bundjalung / Banjalang language,E12,NSW SH56-02,language term,broader term,Bundjalungic language group,,,language term
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,use for,Banjalang people,E12,NSW SH56-02,people term
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,use for,Birihn people,E12,NSW SH56-02,people term
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,use for,,E12,,people code
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,use for,Wahlabul people,E12,NSW SH56-02,people term
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,narrower term,Arakwal people,E13,NSW SH56-03,people term
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,narrower term,Galibal people,E15,NSW SH56-03,people term
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,narrower term,Githabul people,E14,NSW SH56-02,people term
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,narrower term,Widjabal / Wiyabal people,E16,NSW SH56-03,people term
Bundjalung / Banjalang people,E12,NSW SH56-02,people term,narrower term,Yugambeh / Yugumbir people,E17,Qld SG56-15,people term
Bundjalungic language group,,,language term,broader term,Pama-Nyungan language family,,,language term
Bundjalungic language group,,,language term,narrower term,Arakwal language,E13,NSW SH56-03,language term
Bundjalungic language group,,,language term,narrower term,Baryugil language,E17,NSW SH56-06,language term
Bundjalungic language group,,,language term,narrower term,Birihn language,E12,NSW SH56-06,language term
Bundjalungic language group,,,language term,narrower term,Bundjalung / Banjalang language,E12,NSW SH56-02,language term
Bundjalungic language group,,,language term,narrower term,Casino language,E12,NSW SH56-03,language term
Bundjalungic language group,,,language term,narrower term,Copmanhurst language,E12,NSW SH56-06,language term
Bundjalungic language group,,,language term,narrower term,Dinggabal language,"E12, E14",NSW SH56-02,language term
Bundjalungic language group,,,language term,narrower term,Galibal language,E15,NSW SH56-03,language term
Bundjalungic language group,,,language term,narrower term,Geinyan language,D36,Qld SH56-02,language term
Bundjalungic language group,,,language term,narrower term,Giabal language,D41,Qld SG56-14,language term
Bundjalungic language group,,,language term,narrower term,Githabul language,E14,NSW SH56-02,language term
Bundjalungic language group,,,language term,narrower term,Minjungbal / Minyangbal language,E18,NSW SH56-03,language term
Bundjalungic language group,,,language term,narrower term,Narangbal language,"E11, E17",Qld SH56-03,language term
Bundjalungic language group,,,language term,narrower term,Nerang Creek language,E17,Qld SH56-03,language term
Bundjalungic language group,,,language term,narrower term,Nganduwal language,E17,NSW SH 56-03,language term
Bundjalungic language group,,,language term,narrower term,Nyangbal language,E16,NSW SH56-03,language term
Bundjalungic language group,,,language term,narrower term,Widjabal / Wiyabal language,E16,NSW SH56-03,language term
Bundjalungic language group,,,language term,narrower term,Wujehbal language,E14,NSW SH56-06,language term
Bundjalungic language group,,,language term,narrower term,Yugambeh / Yugumbir language,E17,Qld SG56-15,language term
Buneidja language,N42,NT SD53-01,language term,use,Limilngan / Buneidja / Buneidya language,N42,NT SD53-01,language term
Buneidja people,N42,NT SD53-01,people term,use,Limilngan / Buneidja / Buneidya people,N42,NT SD53-01,people term
Buneidya language,N42,NT SD53-01,language term,use,Limilngan / Buneidja / Buneidya language,N42,NT SD53-01,language term
Buneidya people,N42,NT SD53-01,people term,use,Limilngan / Buneidja / Buneidya people,N42,NT SD53-01,people term
Bungala language,L6,SA SI53-04,language term,use,Parnkalla / Barngarla / Bungala language,L6,SA SI53-04,language term
Bungala people,L6,SA SI53-04,people term,use,Parnkalla / Barngarla / Bungala / Banggarla people,L6,SA SI53-04,people term
Bungandidj / Buandig language,S13,SA SJ54-06,language term,use for,Buandig language,S13,SA SJ54-06,language term
Bungandidj / Buandig language,S13,SA SJ54-06,language term,use for,,S13,,language code
Bungandidj / Buandig language,S13,SA SJ54-06,language term,broader term,Kulinic language group,,,language term
Bungandidj / Buandig people,S13,SA SJ54-06,people term,use for,Buandig people,S13,SA SJ54-06,people term
Bungandidj / Buandig people,S13,SA SJ54-06,people term,use for,,S13,,people code
Bunggura language,A28,WA SG52-14,language term,use for,,A28,,language code
Bunggura language,A28,WA SG52-14,language term,broader term,Western Desert languages,,,language term
Bunggura people,A28,WA SG52-14,people term,use for,,A28,,people code
Bunggura people,A28,WA SG52-14,people term,broader term,Western Desert people,,,people term
Bunuba / Punuba language,K5,WA SE 51-08,language term,use for,,K5,,language code
Bunuba / Punuba language,K5,WA SE 51-08,language term,use for,Punuba language,K5,WA SE 51-08,language term
Bunuba / Punuba language,K5,WA SE 51-08,language term,broader term,Bunuban language family,,,language term
Bunuba / Punuba people,K5,WA SE51-08,people term,use for,,K5,,people code
Bunuba / Punuba people,K5,WA SE51-08,people term,use for,Punuba people,K5,WA SE51-08,people term
Bunuban language family,,,language term,narrower term,Bunuba / Punuba language,K5,WA SE 51-08,language term
Bunuban language family,,,language term,narrower term,Gooniyandi / Gunian language,K6,WA SE 52-09,language term
Bunurong language,S35,Vic SJ55-09,language term,use,Boonwurrung / Boonerwrung / Bunurong language,S35,Vic SJ55-09,language term
Bunurong people,S35,Vic SJ55-09,people term,use,Boonwurrung / Boonerwrung / Bunurong people,S35,Vic SJ55-09,people term
Bural Bural people,N114,NT SC53-16,people term,use for,,N114,,people code
Bural Bural people,N114,NT SC53-16,people term,broader term,Yirritja moiety,N116,NT SD53-03,people term
Buranadjinid language,N123,NT SD53-03,language term,use for,,N123,,language code
Buranadjinid language,N123,NT SD53-03,language term,broader term,Ritharrngu / Ridharrngu language group,N104,NT SD53-07,language term
Buranadjinid people,N123,NT SD53-03,people term,use for,,N123,,people code
Buranadjinid people,N123,NT SD53-03,people term,broader term,Yirritja moiety,N116,NT SD53-03,people term
Burarra language,N135,NT SD53-03,language term,use,Warramirri / Warramiri language,N131,NT SD53-03,language term
Burarra language,N82,NT SD53-02,language term,use for,Anbarra language,N82,NT SD53-02,language term
Burarra language,N82,NT SD53-02,language term,use for,Gijingarliya language,N82,NT SD53-02,language term
Burarra language,N82,NT SD53-02,language term,use for,Martay language,,,language term
Burarra language,N82,NT SD53-02,language term,use for,,N82,,language code
Burarra language,N82,NT SD53-02,language term,broader term,Burarran language family,,,language term
Burarra people,N135,NT SD53-03,people term,use for,,N135,,people code
Burarra people,N135,NT SD53-03,people term,broader term,Warramirri / Warramiri people,N131,NT SD53-03,people term
Burarra people,N82,NT SD53-02,people term,use for,,N82,,people code
Burarra people,N82,NT SD53-02,people term,narrower term,Gadjalivia / Gudjalavia people,N86,NT SD53-02,people term
Burarra people,N82,NT SD53-02,people term,narrower term,Maringarr / Gidjingali people,N102,NT SD52-11,people term
Burarran language family,,,language term,narrower term,Burarra language,N82,NT SD53-02,language term
Burarran language family,,,language term,narrower term,Gadjalivia / Gudjalavia language,N86,NT SD53-02,language term
Burarran language family,,,language term,narrower term,Gun-nartpa / Gunardba language,N81,NT SD53-02,language term
Burarran language family,,,language term,narrower term,Gurrgoni / Guragone / Gungurugoni language,N75,NT SD53-02,language term
Burarran language family,,,language term,narrower term,Maringarr / Gidjingali language,N102,NT SD52-11,language term
Butchulla / Batjala / Badtjala language,E30,Qld SG56-06,language term,use for,Badtjala language,E30,Qld SG56-06,language term
Butchulla / Batjala / Badtjala language,E30,Qld SG56-06,language term,use for,Badyala language,E30,Qld SG56-06,language term
Butchulla / Batjala / Badtjala language,E30,Qld SG56-06,language term,use for,Batjala language,E30,Qld SG56-06,language term
Butchulla / Batjala / Badtjala language,E30,Qld SG56-06,language term,use for,,E30,,language code
Butchulla / Batjala / Badtjala language,E30,Qld SG56-06,language term,use for,Ngulungbara language,E30,Qld SG56-06,language term
Butchulla / Batjala / Badtjala language,E30,Qld SG56-06,language term,broader term,Waka-Kabic language group,,,language term
Butchulla / Batjala / Badtjala people,E30,Qld SG56-06,people term,use for,Badtjala people,E30,Qld SG56-06,people term
Butchulla / Batjala / Badtjala people,E30,Qld SG56-06,people term,use for,Badyala people,E30,Qld SG56-06,people term
Butchulla / Batjala / Badtjala people,E30,Qld SG56-06,people term,use for,Batjala people,E30,Qld SG56-06,people term
Butchulla / Batjala / Badtjala people,E30,Qld SG56-06,people term,use for,,E30,,people code
Butchulla / Batjala / Badtjala people,E30,Qld SG56-06,people term,use for,Ngulungbara people,E30,Qld SG56-06,people term
Buyibada language,E24,Qld SG56-10,language term,use,Buyibara language,E24,Qld SG56-10,language term
Buyibada people,E24,Qld SG56-10,people term,use,Buyibara people,E24,Qld SG56-10,people term
Buyibara language,E24,Qld SG56-10,language term,use for,Bujibada language,E24,Qld SG56-10,language term
Buyibara language,E24,Qld SG56-10,language term,use for,Buyibada language,E24,Qld SG56-10,language term
Buyibara language,E24,Qld SG56-10,language term,use for,,E24,,language code
Buyibara language,E24,Qld SG56-10,language term,broader term,Waka-Kabic language group,,,language term
Buyibara people,E24,Qld SG56-10,people term,use for,Bujibada people,E24,Qld SG56-10,people term
Buyibara people,E24,Qld SG56-10,people term,use for,Buyibada people,E24,Qld SG56-10,people term
Buyibara people,E24,Qld SG56-10,people term,use for,,E24,,people code
Buyibara people,E24,Qld SG56-10,people term,broader term,Waka Waka / Wakka Wakka people,E28,Qld SG56-10,people term
,C1,,language code,use,Wirangu language,C1,SA SH53-14,language term
,C1,,people code,use,Wirangu people,C1,SA SH53-14,people term
,C10 (Ildawonnga),,language code,use,Ildawongga language,C10,WA SF51-12,language term
,C10 (Ildawonnga),,people code,use,Ildawongga people,C10,WA SF51-12,people term
,C10,,language code,use,Pintupi language,C10,NT SF52-11,language term
,C10,,people code,use,Pintupi people,C10,NT SF52-11,people term
,C11,,language code,use,Yumu language,C11,NT SF52-16,language term
,C11,,people code,use,Yumu people,C11,NT SF52-16,people term
,C12,,language code,use,Antekerrepenh / Antekerrepinhe / Andegerebenha language,C12,NT SF53-12,language term
,C12,,people code,use,Antekerrepenh / Antekerrepinhe / Andegerebenha people,C12,NT SF53-12,people term
,C13,,language code,use,Kaytetye / Kaytej language,C13,NT SF53-06,language term
,C13,,people code,use,Kaytetye / Kaytej people,C13,NT SF53-06,people term
,C14,,language code,use,Alyawarr / Alyawarre language,C14,NT SF53-07,language term
,C14,,people code,use,Alyawarr / Alyawarre people,C14,NT SF53-07,people term
,C15,,language code,use,Warlpiri language,C15,NT SF52-04,language term
,C15,,people code,use,Warlpiri people,C15,NT SF52-04,people term
,C15.1,,language code,use,Wakirti Warlpiri language,C15.1,NT SF53-05,language term
,C16,,language code,use,Wakaya language,C16,NT SE53-15,language term
,C16,,people code,use,Wakaya people,C16,NT SE53-15,people term
,C17,,language code,use,Warlmanpa language,C17,NT SE53-10,language term
,C17,,people code,use,Warlmanpa people,C17,NT SE53-10,people term
,C18,,language code,use,Warumungu language,C18,NT SE53-01,language term
,C18,,people code,use,Warumungu people,C18,NT SE53-10,people term
,C19,,language code,use,Wambaya / Wampaya language,C19,NT SE53-11,language term
,C19,,people code,use,Wampaya / Wambaya people,C19,NT SE53-11,people term
,C2,,language code,use,Ngalia / Ngalea language,C2,SA SH52-07,language term
,C2,,people code,use,Ngalia / Ngalea people,C2,SA SH52-07,people term
,C20,,language code,use,Gurindji language,C20,NT SE52-08,language term
,C20,,people code,use,Gurindji people,C20,NT SE52-08,people term
,C21,,language code,use,Pinkangarna / Bin-gongina language,C21,NT SE53-09,language term
,C21,,people code,use,Pinkangarna / Bin-gongina people,C21,NT SE53-09,people term
,C22,,language code,use,Jingulu / Djingili / Jingili language,C22,NT SE53-06,language term
,C22,,people code,use,Jingulu / Djingili / Jingili people,C22,NT SE53-06,people term
,C23,,language code,use,Gunindiri language,C23,NT SE53-07,language term
,C23,,people code,use,Gunindiri people,C23,NT SE53-07,people term
,C24,,language code,use,Manu language,C24,NT SE52-07,language term
,C24,,people code,use,Manu people,C24,NT SE52-07,people term
,C25,,language code,use,Mudburra language,C25,NT SE53-05,language term
,C25,,people code,use,Mudburra people,C25,NT SE53-05,people term
,C26,,language code,use,Gurdanji / Kurdanji / Gudanji language,C26,NT SE53-07,language term
,C26,,people code,use,Gurdanji / Kurdanji / Gudanji people,C26,NT SE53-07,people term
,C27,,language code,use,Ngarinman / Ngarinyman language,C27,NT SE52-01,language term
,C27,,people code,use,Ngarinman / Ngarinyman people,C27,NT SE52-01,people term
,C3,,language code,use,Kokatha language,C3,SA SH53-06,language term
,C3,,people code,use,Kokatha people,C3,SA SH53-06,people term
,C4,,language code,use,Yankunytjatjara language,C4,NT SG52-16,language term
,C4,,people code,use,Yankunytjatjara people,C4,NT SG52-16,people term
,C5,,language code,use,Antakirinya / Antikirinya / Antakarinja language,C5,SA SG53-14,language term
,C5,,people code,use,Antakirinya / Antikirinya / Antakarinja people,C5,SA SG53-14,people term
,C6,,language code,use,Pitjantjatjara language,C6,NT SG52-11,language term
,C6,,people code,use,Pitjantjatjara people,C6,NT SG52-11,people term
,C7.1,,language code,use,Luritja / Loritja language,C7.1,NT SG52-04,language term
,C7.1,,people code,use,Luritja / Loritja people,C7.1,NT SG52-04,people term
,C8,,language code,use,Arrernte / Aranda language,C8,NT SG53-02,language term
,C8,,people code,use,Arrernte / Aranda people,C8,NT SG53-02,people term
,C8 (Southern),,language code,use,Pertame language,C8,NT SF53-14,language term
,C8 (Southern),,people code,use,Pertame people,C8,NT SF53-14,people term
,C8 (Western),,language code,use,Western Arrernte language,C8,NT SF53-13,language term
,C8 (Western),,people code,use,Western Arrernte people,C8,NT SF53-13,people term
,C8.1,,language code,use,Anmatyerre / Anmatyerr language,C8.1,NT SF53-09,language term
,C8.1,,people code,use,Anmatyerre / Anmatyerr people,C8.1,NT SF53-09,people term
,C9,,language code,use,Wanggamala language,C9,Qld SG54-05,language term
,C9,,people code,use,Wanggamala people,C9,Qld SG54-05,people term
Casino language,E12,NSW SH56-03,language term,use for,,E12 (Casino),,language code
Casino language,E12,NSW SH56-03,language term,broader term,Bundjalungic language group,,,language term
Central Paman languages,,,language group term,broader term,Paman language group,,,language term
Central Paman languages,,,language group term,narrower term,Kunjen / Ogh-Undyan language,Y83,Qld SE54-04,language term
Central Paman languages,,,language group term,narrower term,Oykangand language,Y101,Qld SE54-03,language term
Central Torres Strait Islander people,Y1,Qld TSI SC54-07,people term,use for,Dumaralag people,Y1,Qld TSI SC54-07,people term
Central Torres Strait Islander people,Y1,Qld TSI SC54-07,people term,use for,Erubam Le people,Y1,Qld TSI SC54-07,people term
Central Torres Strait Islander people,Y1,Qld TSI SC54-07,people term,use for,Gebara Islanders,Y1,Qld TSI SC54-07,people term
Central Torres Strait Islander people,Y1,Qld TSI SC54-07,people term,use for,Iama people,Y1,Qld TSI SC54-07,people term
Central Torres Strait Islander people,Y1,Qld TSI SC54-07,people term,use for,Masig people,Y1,Qld TSI SC54-07,people term
Central Torres Strait Islander people,Y1,Qld TSI SC54-07,people term,use for,Muralag people,Y1,Qld TSI SC54-07,people term
Central Torres Strait Islander people,Y1,Qld TSI SC54-07,people term,use for,,Y1 Central,,people code
Central Torres Strait Islander people,Y1,Qld TSI SC54-07,people term,broader term,Torres Strait Islanders,,"Qld TSI SC54, SC55",people term
Chaapuwurrung language,S26,Vic SJ54-08,language term,use,Djabwurrung / Dyabwurung language,S26,Vic SJ54-08,language term
Chepara people,E23,Qld SG56-14,people term,use,Jagara / Yuggera people,E23,Qld SG56-14,people term
Coastal Lamalama language,Y62,Qld SD55-09,language term,use,Mbambylmu / Coastal Lamalama language,Y62,Qld SD55-09,language term
Coastal Lamalama people,Y62,Qld SD55-09,people term,use,Mbambylmu / Coastal Lamalama people,Y62,Qld SD55-09,people term
Coastal Paman languages,,,language group term,broader term,Paman language group,,,language term
Coastal Paman languages,,,language group term,narrower term,Koko Bera language,Y85,Qld SD54-15,language term
Copmanhurst language,E12,NSW SH56-06,language term,use for,,E12 (Copmanhurst),,language code
Copmanhurst language,E12,NSW SH56-06,language term,broader term,Bundjalungic language group,,,language term
Cuwar language,E26,Qld SG56-15,language term,use,Guwar language,E26,Qld SG56-15,language term
,D1,,language code,use,Wemba Wemba / Wamba Wamba language,D1,"Vic, NSW SI54-16",language term
,D1,,people code,use,Wemba Wemba / Wamba Wamba people,D1,"Vic, NSW SI54-16",people term
,D10,,language code,use,Wiradjuri language,D10,NSW SI55-07,language term
,D10,,people code,use,Wiradjuri people,D10,NSW SI55-07,people term
,D11,,language code,use,Bolali language,D11,NSW SH54-16,language term
,D11,,people code,use,Bolali people,D11,NSW SH54-16,people term
,D12 (Barindji),,language code,use,Barindji language,D12,NSW SI54-04,language term
,D12 (Barindji),,people code,use,Barindji people,D12,NSW SI54-04,people term
,D12,,language code,use,Paakantyi / Paakantji / Barkindji language,D12,NSW SI54-03,language term
,D12,,people code,use,Paakantyi / Paakantji / Barkindji people,D12,NSW SI54-03,people term
,D13,,language code,use,Wiljali language,D13,NSW SH54-15,language term
,D13,,people code,use,Wiljali people,D13,NSW SH54-15,people term
,D14,,language code,use,Danggali language,D14,SA SI54-06,language term
,D14,,people code,use,Danggali people,D14,SA SI54-06,people term
,D15,,language code,use,Gunybaray language,D15,NSW SI55-04,language term
,D15,,people code,use,Gunybaray people,D15,NSW SI55-04,people term
,D16,,language code,use,Wilyagali language,D16,NSW SI54-03,language term
,D16,,people code,use,Wilyagali people,D16,NSW SI54-03,people term
,D17,,language code,use,Bandjigali / Bandjagali language,D17,NSW SH54-12,language term
,D17,,people code,use,Bandjigali / Bandjagali people,D17,NSW SH54-12,people term
,D18,,language code,use,Ngiyampaa / Wangaaybuwan / Wongaibon language,D18,NSW SI55-02,language term
,D18,,people code,use,Wangaaybuwan / Wongaibon people,D18,NSW SI55-02,people term
,D19,,language code,use,Nawalgu language,D19,NSW SH55-13,language term
,D19,,people code,use,Nawalgu people,D19,NSW SH55-13,people term
,D2,,language code,use,Yorta Yorta / Yota Yota language,D2,NSW SI55-13,language term
,D2,,people code,use,Yorta Yorta / Yota Yota people,D2,NSW SI55-13,people term
,D20,,language code,use,Wailwan / Weilwan language,D20,NSW SH55-11,language term
,D20,,people code,use,Wailwan / Weilwan people,D20,NSW SH55-11,people term
,D21,,language code,use,Wandjiwalgu language,D21,NSW SH54-12,language term
,D21,,people code,use,Wandjiwalgu people,D21,NSW SH54-12,people term
,D22,,language code,use,Ngiyambaa / Ngemba language,D22,NSW SH55-10,language term
,D22,,people code,use,Ngiyampaa / Ngemba people,D22,NSW SH55-10,people term
,D23,,language code,use,Gamilaraay / Gamilaroi / Kamilaroi language,D23,NSW SH55-12,language term
,D23,,people code,use,Gamilaraay / Gamilaroi / Kamilaroi people,D23,NSW SH55-12,people term
,D24,,language code,use,Anaiwan / Nganyaywana language,D24,NSW SH56-09,language term
,D24,,people code,use,Anaiwan / Nganyaywana people,D24,NSW SH56-09,people term
,D25,,language code,use,Kurnu / Gunu language,D25,NSW SH55-05,language term
,D25,,people code,use,Kurnu / Gunu people,D25,NSW SH55-05,people term
,D26,,language code,use,Barranbinya / Baranbinya language,D26,NSW SH55-06,language term
,D26,,people code,use,Barranbinya / Baranbinya people,D26,NSW SH55-06,people term
,D27,,language code,use,Yuwaalaraay / Euahlayi / Yuwaaliyaay language,D27,NSW SH55-07,language term
,D27,,people code,use,Yuwaalaraay / Euahlayi / Yuwaaliyaay people,D27,NSW SH55-07,people term
,D28,,language code,use,Wiriyaraay language,D28,NSW SH56-05,language term
,D28,,people code,use,Wiriyaraay people,D28,NSW SH56-05,people term
,D29,,language code,use,Gambuwal language,D29,Qld SH56-01,language term
,D29,,people code,use,Gambuwal people,D29,Qld SH56-01,people term
,D3,,language code,use,Ngunawal / Ngunnawal language,D3,NSW SI55-16,language term
,D3,,people code,use,Ngunawal / Ngunnawal people,D3,NSW SI55-16,people term
,D30,,language code,use,Galali / Kullilli language,D30,Qld SH55-01,language term
,D30,,people code,use,Galali / Kullilli people,D30,Qld SH55-01,people term
,D31,,language code,use,Badjiri / Budjari / Badyidi language,D31,Qld SH55-01,language term
,D31,,people code,use,Badjiri / Budjari / Badyidi people,D31,Qld SH55-01,people term
,D32,,language code,use,Muruwari / Murrawarri language,D32,NSW SH55-06,language term
,D32,,people code,use,Muruwari / Murrawarri people,D32,NSW SH55-06,people term
,D33,,language code,use,Guwamu / Kooma language,D33,Qld SH55-03,language term
,D33,,people code,use,Guwamu / Kooma people,D33,Qld SH55-03,people term
,D34,,language code,use,Bigambul language,D34,Qld SH56-01,language term
,D34,,people code,use,Bigambul people,D34,Qld SH56-01,people term
,D35,,language code,use,Kwiambal / Gujambal language,D35,Qld SH56-01,language term
,D35,,people code,use,Kwiambal / Gujambal people,D35,Qld SH56-01,people term
,D36,,language code,use,Geinyan language,D36,Qld SH56-02,language term
,D36,,people code,use,Geinyan people,D36,Qld SH56-02,people term
,D37,,language code,use,Kuungkari / Gunggari language,D37,Qld SG55-15,language term
,D37,,people code,use,Kuungkari / Gunggari people,D37,Qld SG55-15,people term
,D38,,language code,use,Kogai / Gogai language,D38,Qld SG55-16,language term
,D38,,people code,use,Kogai / Gogai people,D38,Qld SG55-16,people term
,D39,,language code,use,Gawambaray language,D39,Qld SH55-16,language term
,D39,,people code,use,Gawambaray people,D39,Qld SH55-16,people term
,D4,,language code,use,Wadi Wadi / Wathi Wathi language,D4,Vic SI54-16,language term
,D4,,people code,use,Wadi Wadi / Wathi Wathi people,D4,Vic SI54-16,people term
,D40,,language code,use,Barunggam language,D40,Qld SG56-09,language term
,D40,,people code,use,Barunggam people,D40,Qld SG56-09,people term
,D41,,language code,use,Giabal language,D41,Qld SG56-14,language term
,D41,,people code,use,Giabal people,D41,Qld SG56-14,people term
,D42,,language code,use,Margany / Mardigan language,D42,Qld SG55-13,language term
,D42,,people code,use,Margany / Mardigan people,D42,Qld SG55-13,people term
,D43,,language code,use,Gunya / Kunja language,D43,Qld SG55-10,language term
,D43,,people code,use,Gunya / Kunja people,D43,Qld SG55-10,people term
,D44,,language code,use,Mandandanji language,D44,Qld SG55-16,language term
,D44,,people code,use,Mandandanji people,D44,Qld SG55-16,people term
,D45,,language code,use,Wadyalang language,D45,Qld SG55-05,language term
,D45,,people code,use,Wadyalang people,D45,Qld SG55-05,people term
,D46,,language code,use,Nguri language,D46,Qld SG54-06,language term
,D46,,people code,use,Nguri people,D46,Qld SG54-06,people term
,D5,,language code,use,Baraba Baraba language,D5,NSW SI55-13,language term
,D5,,people code,use,Baraba Baraba people,D5,NSW SI55-13,people term
,D6,,language code,use,Marawara language,D6,NSW SI54-07,language term
,D6,,people code,use,Marawara people,D6,NSW SI54-07,people term
,D6.1,,language code,use,Kureinji language,D6.1,NSW SI54-11,language term
,D6.1,,people code,use,Kureinji people,D6.1,NSW SI54-11,people term
,D7,,language code,use,Yitha Yitha / Yida Yida language,D7,NSW SI54-12,language term
,D7,,people code,use,Yitha Yitha / Yida Yida people,D7,NSW SI54-12,people term
,D8,,language code,use,Madhi Madhi / Madi Madi language,D8,NSW SI54-12,language term
,D8,,people code,use,Madhi Madhi / Madi Madi people,D8,NSW SI54-12,people term
,D9,,language code,use,Nari Nari language,D9,NSW SI55-09,language term
,D9,,people code,use,Nari Nari people,D9,NSW SI55-09,people term
Dabingu / Daboingu language,N116.E,NT SD53-03,language term,use,Dhapuyngu language,N116.E,NT SD53-03,language term
Dabingu / Daboingu people,N116.D,NT SD53-03,people term,use,Dhapuyngu people,N116.E,NT SD53-03,people term
Dadi Dadi / Dardi Dardi language,S28,Vic SI54-12,language term,use for,Dardi Dardi language,S28,Vic SI54-12,language term
Dadi Dadi / Dardi Dardi language,S28,Vic SI54-12,language term,use for,,S28,,language code
Dadi Dadi / Dardi Dardi language,S28,Vic SI54-12,language term,broader term,Yitha Yitha / Yida Yida language,D7,NSW SI54-12,language term
Dadi Dadi / Dardi Dardi people,S28,Vic SI54-12,people term,use for,Dardi Dardi people,S28,Vic SI54-12,people term
